央视频道,#genre#
霍格影片,https://www.goodiptv.club/douyu/8814650$1920x1080
可乐电影,https://www.goodiptv.club/douyu/20415$1920x1080
奶虫恐怖电影,https://www.goodiptv.club/douyu/263824$1920x1080
变种人电影,https://www.goodiptv.club/douyu/9651304$1920x1080
华语电影,https://www.goodiptv.club/douyu/3928$1920x1080
连续剧1,https://www.goodiptv.club/douyu/4549169$1280x720
连续剧2,https://www.goodiptv.club/douyu/7623292$1280x720
游戏解说,https://www.goodiptv.club/douyu/805235$1920x1080
斗鱼小品,https://www.goodiptv.club/douyu/3980787$1920x1080
斗鱼动画,https://www.goodiptv.club/douyu/7528160$1280x720
斗鱼电影1,https://www.goodiptv.club/douyu/2935323$1536x864
斗鱼电影2,https://www.goodiptv.club/douyu/7459925$1920x1080
斗鱼电影3,https://www.goodiptv.club/douyu/431460$1920x1080
斗鱼电影4,https://www.goodiptv.club/douyu/4246519$1280x720
斗鱼电影7,https://www.goodiptv.club/douyu/7655471$1024x768
斗鱼电影9,https://www.goodiptv.club/douyu/6566671$1920x1080
斗鱼电影10,https://www.goodiptv.club/douyu/8475821$1080x1920
斗鱼电影11,https://www.goodiptv.club/douyu/338759$1920x1080
斗鱼电影12,https://www.goodiptv.club/douyu/2793084$1280x720
斗鱼电影13,https://www.goodiptv.club/douyu/5067952$1280x720
斗鱼电影14,https://www.goodiptv.club/douyu/413573$1920x1080
斗鱼电影15,https://www.goodiptv.club/douyu/5033502$1280x720
斗鱼电影16,https://www.goodiptv.club/douyu/426517$1280x720
斗鱼电影18,https://www.goodiptv.club/douyu/7314294$1920x1080
斗鱼电影19,https://www.goodiptv.club/douyu/6582435$1920x1080
斗鱼电影20,https://www.goodiptv.club/douyu/323876$1920x1080
斗鱼4K,https://www.goodiptv.club/douyu/9249162$1920x1080
斗鱼电影HD1,https://www.goodiptv.club/douyu/20415$1920x1080
斗鱼电影HD2,https://www.goodiptv.club/douyu/10240553$1920x1080
斗鱼电影HD3,https://www.goodiptv.club/douyu/122402$1920x1080
斗鱼电影HD4,https://www.goodiptv.club/douyu/85894$1920x1080
斗鱼电影HD5,https://www.goodiptv.club/douyu/263824$1920x1080
斗鱼电影HD6,https://www.goodiptv.club/douyu/747764$1920x1080
斗鱼电影HD7,https://www.goodiptv.club/douyu/20415$1920x1080
斗鱼电影HD8,https://www.goodiptv.club/douyu/8663752$1920x1080
斗鱼电影HD9,https://www.goodiptv.club/douyu/323876$1920x1080
斗鱼电影HD10,https://www.goodiptv.club/douyu/6140589$1920x1080
斗鱼电影HD11,https://www.goodiptv.club/douyu/8770422$1920x1080
斗鱼电影HD12,https://www.goodiptv.club/douyu/2436390$1920x1080
斗鱼电影HD13,https://www.goodiptv.club/douyu/218859$1920x1080
斗鱼电影HD14,https://www.goodiptv.club/douyu/36337$1920x1080
斗鱼电影HD15,https://www.goodiptv.club/douyu/413573$1920x1080
斗鱼电影HD16,https://www.goodiptv.club/douyu/1504768$1920x1080
斗鱼电影HD17,https://www.goodiptv.club/douyu/3637726$1920x1080
斗鱼电影HD18,https://www.goodiptv.club/douyu/9292492$1920x1080
斗鱼电影HD19,https://www.goodiptv.club/douyu/3637765rrt97$1920x1080
斗鱼电影HD20,https://www.goodiptv.club/douyu/10395991$1920x1080
斗鱼电影HD21,https://www.goodiptv.club/douyu/10395986$1920x1080
斗鱼电影HD22,https://www.goodiptv.club/douyu/252802$1920x1080
斗鱼电影HD23,https://www.goodiptv.club/douyu/6079455$2560x1440
斗鱼电影HD24,https://www.goodiptv.club/douyu/315131$1920x1080
斗鱼电影HD25,https://www.goodiptv.club/douyu/8945323$1920x1080
斗鱼电影HD26,https://www.goodiptv.club/douyu/2516864$1920x1080
斗鱼电影HD27,https://www.goodiptv.club/douyu/248753$1920x1080
斗鱼电影HD28,https://www.goodiptv.club/douyu/4332$1920x1080
斗鱼电影HD29,https://www.goodiptv.club/douyu/9651304$1920x1080
斗鱼电影HD30,https://www.goodiptv.club/douyu/9650887$1920x1080
斗鱼电影HD31,https://www.goodiptv.club/douyu/8814650$1920x1080
斗鱼电影HD33,https://www.goodiptv.club/douyu/52787$1920x1080
斗鱼电影HD34,https://www.goodiptv.club/douyu/8985415$1920x1080
斗鱼电影HD35,https://www.goodiptv.club/douyu/1165374$1280x720
斗鱼电影HD36,https://www.goodiptv.club/douyu/1735337$1920x1080
斗鱼电影HD37,https://www.goodiptv.club/douyu/6537888$1920x1080
斗鱼电影HD38,https://www.goodiptv.club/douyu/6003761$1920x1080
斗鱼电影HD39,https://www.goodiptv.club/douyu/9683979$1920x1080
斗鱼电影HD40,https://www.goodiptv.club/douyu/1226741$1920x1080
斗鱼电影HD41,https://www.goodiptv.club/douyu/59612$1920x1080
斗鱼电影HD42,https://www.goodiptv.club/douyu/925724$1920x1080
斗鱼搞笑HD1,https://www.goodiptv.club/douyu/9220456$1920x1080
斗鱼搞笑HD2,https://www.goodiptv.club/douyu/9770949$1920x1080
斗鱼搞笑HD3,https://www.goodiptv.club/douyu/9067836$1920x1080
斗鱼搞笑HD4,https://www.goodiptv.club/douyu/9817729$1920x1080
斗鱼搞笑HD5,https://www.goodiptv.club/douyu/8737695$1920x1080
电影频道,#genre#
CHC高清电影,http://ddns.cyruslee.top:8888/udp/239.77.0.27:5146$1920x1080
CHC高清电影,http://106.59.3.147:55555/udp/239.200.201.34:8148$1920x1080
CHC家庭影院,http://60.220.167.28:8085/rtp/226.0.2.240:9820$1920x1080
CHC家庭影院,http://60.220.167.16:8085/rtp/226.0.2.240:9820$1920x1080
CHC家庭影院,http://summer-xa.icopylock.com:8888/udp/239.112.205.205:5140$1920x1080
CHC家庭影院,http://119.98.70.182:4022/rtp/239.69.1.243:11100$1920x1080
CHC家庭影院,http://106.59.3.147:55555/udp/239.200.201.30:8140$1920x1080
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CHC家庭影院,http://59.44.102.18:8888/newlive/live/hls/59/live.m3u8
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1036_1.m3u8
CHC家庭影院,http://110.53.52.63:8888/newlive/live/hls/51/live.m3u8
CHC动作电影,http://60.220.167.16:8085/rtp/226.0.2.94:8012$1920x1080
CHC动作电影,http://119.98.70.182:4022/rtp/239.69.1.242:11094$1920x1080
CHC动作电影,http://www.91dos.cn:4022/rtp/239.61.3.16:9616$1920x1080
CHC动作电影,http://106.59.3.147:55555/udp/239.200.201.31:8144$1920x1080
CHC动作电影,http://nas.hssvm.com:8888/udp/225.1.1.215:5002$1920x1080
CHC动作电影,http://xuys.top:8888/udp/225.1.1.221:5002$720x576
CHC动作电影,http://218.76.32.193:9901/tsfile/live/1020_1.m3u8
CHC动作电影,http://59.44.102.18:8888/newlive/live/hls/57/live.m3u8
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1037_1.m3u8
CHC动作电影,http://124.94.193.136:9902/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://hlsbkmgsplive.miguvideo.com/wd_r1/2018/gesee/chcdzdy/600/index.m3u8?&encrypt=
CHC动作电影,http://110.53.52.63:8888/newlive/live/hls/53/live.m3u8
CHC动作电影,http://61.162.52.6:8088/newlive/live/hls/61/live.m3u8
CHC影迷电影,http://summer-xa.icopylock.com:8888/udp/239.112.205.206:5140$1920x1080
CHC影迷电影,http://61.162.52.6:8088/newlive/live/hls/62/live.m3u8
CHC影迷电影,http://58.19.38.162:9901/tsfile/live/1038_1.m3u8
CHC影迷电影,http://59.44.102.18:8888/newlive/live/hls/58/live.m3u8
CHC影迷电影,http://110.53.52.63:8888/newlive/live/hls/52/live.m3u8
家庭影院,http://27.11.52.62:8004/udp/225.0.4.171:7980$720x576
家庭影院,http://ly123.fun:10000/rtp/235.254.198.100:1676$720x576
家庭影院,http://124.94.193.136:9902/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,https://lunbo.freetv.top/yy/1355142167$1920x1080
经典电影,https://www.goodiptv.club/yy/1355142167$1920x1080
经典电影,https://lunbo.freetv.top/yy/1461140888$1920x1080
经典电影,http://ddns.cyruslee.top:8888/udp/239.77.0.104:5146$720x576
经典电影,http://27.11.52.62:8004/udp/225.0.4.48:7980$720x576
经典电影,http://ly123.fun:10000/rtp/235.254.198.114:1732$720x576
经典电影,http://iptv.8t.cx:8180/rtp/239.3.1.195:9024$720x576
经典电影,http://s.cdhongyuan.cn:4022/udp/239.93.0.57:9024$720x576
经典电影,http://113.57.20.158:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://tc-tct.douyucdn2.cn/dyliveflv1a/85894rmovieChow_2000p.m3u8
经典电影,http://59.48.75.130:3052/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://61.163.181.78:9901/tsfile/live/1059_1.m3u8
夏洛特烦恼-国内电影-喜剧,https://lunbo.freetv.top/yy/1354936201$1920x1080
大话西游至尊宝,https://lunbo.freetv.top/yy/1382736910$1920x1080
拆弹专家-刘德华,https://lunbo.freetv.top/yy/1382745111$1920x1080
九品芝麻官包龙星,https://www.goodiptv.club/yy/1354930968$1920x1080
九品芝麻官包龙星,https://lunbo.freetv.top/yy/1354930968$1920x1080
九品芝麻官,https://alimov2.a.kwimgs.com/upic/2021/12/28/11/BMjAyMTEyMjgxMTIyMTJfNDAzMDAxOTlfNjM2NjgxODA5MTBfMF8z_b_B6a0bcfcdbdaac183fa7dcbcd3e11bcaf.mp4$1920x1080
夏洛特烦恼,https://live.metshop.top/yy/1354936201$1920x1080
夏洛特烦恼,https://www.goodiptv.club/yy/1354936201$1920x1080
鹿鼎记-周星驰版,https://lunbo.freetv.top/yy/1354658049$1920x1080
叶问全集,https://lunbo.freetv.top/yy/1382828771$1920x1080
叶问全集,https://live.metshop.top/yy/1382828771$1920x1080
绝版电影 600部,https://www.goodiptv.club/yy/1382764593$1920x1080
绝版电影 600部,https://lunbo.freetv.top/yy/1382764593$1920x1080
哈利波特全集,https://lunbo.freetv.top/yy/1382745105$1920x1080
哈利波特全集,https://www.goodiptv.club/yy/1382745105$1920x1080
科幻大片,https://lunbo.freetv.top/yy/1382745181$1920x1080
科幻大片,https://www.goodiptv.club/yy/1382745181$1920x1080
超燃科幻大片：明日边缘,https://lunbo.freetv.top/yy/1382736835$1920x1080
美国队长史蒂夫,https://www.goodiptv.club/yy/1382736813$1920x1080
变形金刚,https://www.goodiptv.club/yy/1382736803$1920x1080
变形金刚,https://lunbo.freetv.top/yy/1382736803$1920x1080
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
让子弹飞,https://vip.ffzy-play7.com/20230116/11563_b9f44814/index.m3u8
龙门飞甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8
龙门飞甲,https://cdn2.yzzy-tv-cdn.com/20220331/4883_7f84c204/index.m3u8
寒战1,https://vip.ffzy-play6.com/20221019/157_bf0740ee/index.m3u8
人在囧途,http://jsmov2.a.yximgs.com/bs3/video-hls/5239093847755471351_hlsb.m3u8
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
人在囧途之泰囧,https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8
无间道1,https://vip.ffzy-play6.com/20221017/13_ddfc1740/index.m3u8
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
我不是药神,https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
卧虎藏龙,https://vip.ffzy-play6.com/20221019/118_1367b8f6/index.m3u8
电影_赛车,https://live.metshop.top/huya/11279247$704x456
电影_赛车,https://www.goodiptv.club/huya/11279247$704x456
电影_死神来了,http://cfss.cc/cdn/hy/11352903.flv$1024x576
电影_推荐,https://www.goodiptv.club/huya/11602041$1920x800
电影_推荐,https://live.metshop.top/huya/11602041$1920x800
满城尽带黄金甲,https://vip.ffzy-play2.com/20221022/289_cc1b109c/index.m3u8
电视剧频道,#genre#
知否知否应是绿肥红瘦,https://www.goodiptv.club/yy/21881901$1920x1080
知否知否应是绿肥红瘦,https://lunbo.freetv.top/yy/21881901$1920x1080
知否知否应是绿肥红瘦,https://live.metshop.top/yy/21881901$1920x1080
知否知否应是绿肥红瘦,http://live.iill.top/yy.php?id=21881901$1280x720
庆余年,http://diyp.112114.xyz/douyu/7489563$1920x1080
庆余年,http://cfss.cc/cdn/hy/11352960.m3u8
士兵突击,https://lunbo.freetv.top/yy/1382851600$1920x1080
