Name: 云南卫视, URL: http://39.172.91.235:2082/tsfile/live/0119_1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 甘肃卫视, URL: http://39.172.91.235:2082/tsfile/live/0141_1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 甘肃卫视, URL: http://60.168.228.168:2000/rtp/238.1.79.36:4400, Date: None, Resolution: None, Response Time: inf ms
Name: 青海卫视, URL: http://39.172.91.235:2082/tsfile/live/0140_1.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: 大湾区卫视, URL: http://14.212.185.27:9901/tsfile/live/1004_1.m3u8, Date: None, Resolution: None, Response Time: 485 ms
Name: 浙江民生, URL: https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8, Date: None, Resolution: None, Response Time: 2361 ms
Name: 浙江少儿, URL: https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8, Date: None, Resolution: None, Response Time: 2365 ms
Name: 浙江钱江, URL: https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8, Date: None, Resolution: None, Response Time: 2372 ms
Name: 浙江经济, URL: https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8, Date: None, Resolution: None, Response Time: 2375 ms
Name: 浙江数码, URL: https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8, Date: None, Resolution: None, Response Time: 2391 ms
Name: 浙江国际, URL: https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8, Date: None, Resolution: None, Response Time: 2396 ms
Name: 浙江公共, URL: https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8, Date: None, Resolution: None, Response Time: 2419 ms
Name: 浙江教科, URL: https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8, Date: None, Resolution: None, Response Time: 2432 ms
Name: 杭州综合, URL: http://218.71.45.167:9999/rtp/233.50.201.173:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 杭州综合, URL: http://live.cooltv.top/tv/hz.php?id=16, Date: None, Resolution: None, Response Time: inf ms
Name: 杭州综合, URL: http://125.210.150.58:9090/live/hzgq-hzzhgq-h264.m3u8, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN英文纪录, URL: http://222.137.229.201:2000/rtp/225.1.5.35:1345, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN阿拉伯语, URL: http://113.87.248.154:4000/udp/239.253.43.200:5146, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN阿拉伯语, URL: http://222.137.229.201:2000/rtp/225.1.5.38:1348, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN西班牙语, URL: http://113.87.248.154:4000/udp/239.77.0.221:5146, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN西班牙语, URL: http://222.137.229.201:2000/rtp/225.1.5.36:1346, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN英语, URL: http://113.87.248.154:4000/udp/239.77.0.199:5146, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN英语, URL: http://222.137.229.201:2000/rtp/225.1.5.34:1344, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN法语, URL: http://113.87.248.154:4000/udp/239.77.0.228:5146, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN法语, URL: http://222.137.229.201:2000/rtp/225.1.5.37:1347, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN俄语, URL: http://113.87.248.154:4000/udp/239.253.43.201:5146, Date: None, Resolution: None, Response Time: inf ms
Name: CGTN俄语, URL: http://222.137.229.201:2000/rtp/225.1.5.39:1349, Date: None, Resolution: None, Response Time: inf ms
Name: 中国教育CETV, URL: http://60.168.228.168:2000/rtp/238.1.78.158:7136, Date: None, Resolution: None, Response Time: inf ms
Name: 中国教育CETV, URL: http://117.66.231.62:2000/rtp/238.1.78.158:7136, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV高尔夫网球, URL: http://60.168.228.168:2000/rtp/238.1.79.58:4600, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV高尔夫网球, URL: http://117.66.231.62:2000/rtp/238.1.79.58:4600, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV风云剧场, URL: http://60.168.228.168:2000/rtp/238.1.79.62:4632, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV风云剧场, URL: http://117.66.231.62:2000/rtp/238.1.79.62:4632, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV风云剧场, URL: http://61.240.39.147:8084/rtp/226.0.2.227:9728, Date: None, Resolution: None, Response Time: inf ms
Name: CCTV风云剧场, URL: http://61.240.39.147:8085/rtp/226.0.2.227:9728, Date: None, Resolution: None, Response Time: inf ms
Name: 海南卫视, URL: http://60.223.72.82:8005/rtp/226.0.2.212:9608, Date: None, Resolution: None, Response Time: inf ms
Name: 海南卫视, URL: http://60.223.72.82:8004/rtp/226.0.2.212:9608, Date: None, Resolution: None, Response Time: inf ms
Name: 海南卫视, URL: http://60.168.228.168:2000/rtp/238.1.79.49:4504, Date: None, Resolution: None, Response Time: inf ms
Name: 广西卫视, URL: http://60.223.72.82:8005/rtp/226.0.2.231:9760, Date: None, Resolution: None, Response Time: inf ms
Name: 广西卫视, URL: http://60.223.72.82:8004/rtp/226.0.2.231:9760, Date: None, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://60.223.72.82:8005/rtp/226.0.2.152:9128, Date: None, Resolution: None, Response Time: inf ms
Name: 山西卫视, URL: http://60.223.72.82:8004/rtp/226.0.2.152:9128, Date: None, Resolution: None, Response Time: inf ms
Name: 河南卫视, URL: http://115.194.171.101:4022/udp/233.50.201.144:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 河南卫视, URL: http://60.223.72.82:8005/rtp/226.0.2.52:8328, Date: None, Resolution: None, Response Time: inf ms
Name: 河南卫视, URL: http://60.223.72.82:8004/rtp/226.0.2.52:8328, Date: None, Resolution: None, Response Time: inf ms
Name: 河南卫视, URL: http://60.168.228.168:2000/rtp/238.1.79.65:4632, Date: None, Resolution: None, Response Time: inf ms
Name: 河南卫视, URL: http://183.144.201.58:6868/udp/233.50.201.144:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://14.212.185.27:9901/tsfile/live/0123_1.m3u8, Date: None, Resolution: None, Response Time: 480 ms
Name: 四川卫视, URL: http://115.194.171.101:4022/udp/233.50.201.139:5140, Date: None, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://60.223.72.82:8005/rtp/226.0.2.179:9344, Date: None, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://60.223.72.82:8004/rtp/226.0.2.179:9344, Date: None, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://60.168.228.168:2000/rtp/238.1.78.30:6168, Date: None, Resolution: None, Response Time: inf ms
Name: 四川卫视, URL: http://183.144.201.58:6868/udp/233.50.200.118:5140, Date: None, Resolution: None, Response Time: inf ms
