🔫｜浙江,#genre#
CCTV1,http://123.120.200.46:8888/rtp/239.3.1.129:8008
CCTV10,http://123.120.200.46:8888/rtp/239.3.1.63:8116
CCTV11,http://123.120.200.46:8888/rtp/239.3.1.152:8120
CCTV12,http://123.120.200.46:8888/rtp/239.3.1.64:8124
CCTV13,http://123.120.200.46:8888/rtp/239.3.1.124:8128
CCTV14,http://123.120.200.46:8888/rtp/239.3.1.65:8132
CCTV15,http://123.120.200.46:8888/rtp/239.3.1.153:8136
CCTV16,http://123.120.200.46:8888/rtp/239.3.1.184:8001
CCTV17,http://123.120.200.46:8888/rtp/239.3.1.151:8144
CCTV2,http://123.120.200.46:8888/rtp/239.3.1.60:8084
CCTV3,http://123.120.200.46:8888/rtp/239.3.1.172:8001
CCTV4,http://123.120.200.46:8888/rtp/239.3.1.105:8092
CCTV4,http://123.120.200.46:8888/rtp/239.3.1.213:4220
CCTV4,http://123.120.200.46:8888/rtp/239.3.1.214:4220
CCTV5,http://123.120.200.46:8888/rtp/239.3.1.130:8004
CCTV5,http://123.120.200.46:8888/rtp/239.3.1.173:8001
CCTV6,http://123.120.200.46:8888/rtp/239.3.1.174:8001
CCTV7,http://123.120.200.46:8888/rtp/239.3.1.61:8104
CCTV8,http://123.120.200.46:8888/rtp/239.3.1.175:8001
CCTV9,http://123.120.200.46:8888/rtp/239.3.1.62:8112
CETV1,http://123.120.200.46:8888/rtp/239.3.1.57:8152
西班牙语,http://123.120.200.46:8888/rtp/239.3.1.217:4220
阿拉伯语,http://123.120.200.46:8888/rtp/239.3.1.219:4220
CCTV1,http://115.194.171.101:4022/udp/233.50.200.130:5140
CCTV1,http://115.194.171.101:4022/udp/233.50.200.130:5140
CCTV1,http://115.194.171.101:4022/udp/233.50.200.247:5140
CCTV1,http://115.194.171.101:4022/udp/233.50.201.118:5140
CCTV1,http://115.194.171.101:4022/udp/233.50.201.118:5140
CCTV1,http://115.194.171.101:4022/udp/233.50.201.222:5140
CCTV1,http://115.194.171.101:4022/udp/233.50.201.222:5140
CCTV1,http://115.194.171.101:4022/udp/233.50.201.226:5140
CCTV10,http://115.194.171.101:4022/udp/233.50.201.122:5140
CCTV10,http://115.194.171.101:4022/udp/233.50.201.122:5140
CCTV12,http://115.194.171.101:4022/udp/233.50.201.123:5140
CCTV13,http://115.194.171.101:4022/udp/233.50.201.246:5140
CCTV13,http://115.194.171.101:4022/udp/233.50.201.246:5140
CCTV14,http://115.194.171.101:4022/udp/233.50.200.20:5140
CCTV14,http://115.194.171.101:4022/udp/233.50.200.20:5140
CCTV14,http://115.194.171.101:4022/udp/233.50.201.124:5140
CCTV14,http://115.194.171.101:4022/udp/233.50.201.124:5140
CCTV16,http://115.194.171.101:4022/udp/233.50.200.112:5140
CCTV16,http://115.194.171.101:4022/udp/233.50.201.192:5140
CCTV16,http://115.194.171.101:4022/udp/233.50.201.192:5140
CCTV2,http://115.194.171.101:4022/udp/233.50.200.25:5140
CCTV2,http://115.194.171.101:4022/udp/233.50.200.25:5140
CCTV2,http://115.194.171.101:4022/udp/233.50.201.119:5140
CCTV2,http://115.194.171.101:4022/udp/233.50.201.119:5140
CCTV3,http://115.194.171.101:4022/udp/233.50.201.196:5140
CCTV3,http://115.194.171.101:4022/udp/233.50.201.196:5140
CCTV5,http://115.194.171.101:4022/udp/233.50.201.197:5140
CCTV5,http://115.194.171.101:4022/udp/233.50.201.197:5140
CCTV5,http://115.194.171.101:4022/udp/233.50.201.220:5140
CCTV5,http://115.194.171.101:4022/udp/233.50.201.220:5140
CCTV6,http://115.194.171.101:4022/udp/233.50.201.198:5140
CCTV6,http://115.194.171.101:4022/udp/233.50.201.198:5140
CCTV7,http://115.194.171.101:4022/udp/233.50.200.24:5140
CCTV7,http://115.194.171.101:4022/udp/233.50.200.24:5140
CCTV7,http://115.194.171.101:4022/udp/233.50.201.120:5140
CCTV7,http://115.194.171.101:4022/udp/233.50.201.120:5140
CCTV8,http://115.194.171.101:4022/udp/233.50.201.199:5140
CCTV8,http://115.194.171.101:4022/udp/233.50.201.199:5140
CCTV9,http://115.194.171.101:4022/udp/233.50.201.121:5140
CCTV9,http://115.194.171.101:4022/udp/233.50.201.121:5140
CETV4,http://115.194.171.101:4022/udp/233.50.200.162:5140
CCTV1,http://60.223.72.82:8005/rtp/226.0.2.16:8040
CCTV16,http://60.223.72.82:8005/rtp/226.0.2.169:9264
CCTV世界地理,http://60.223.72.82:8005/rtp/226.0.2.222:9688
CCTV兵器科技,http://60.223.72.82:8005/rtp/226.0.2.223:9696
CCTV央视台球,http://60.223.72.82:8005/rtp/226.0.2.216:9640
CCTV央视文化精品,http://60.223.72.82:8005/rtp/226.0.2.219:9664
CCTV女性时尚,http://60.223.72.82:8005/rtp/226.0.2.226:9720
CCTV怀旧剧场,http://60.223.72.82:8005/rtp/226.0.2.224:9704
CCTV风云足球,http://60.223.72.82:8005/rtp/226.0.2.225:9712
CCTV风云音乐,http://60.223.72.82:8005/rtp/226.0.2.220:9672
CCTV高网,http://60.223.72.82:8005/rtp/226.0.2.217:9648
CETV1,http://60.223.72.82:8005/rtp/226.0.2.181:9360
CETV早期教育,http://60.223.72.82:8005/rtp/226.0.2.99:8704
CCTV1,http://60.223.72.82:8004/rtp/226.0.2.16:8040
CCTV16,http://60.223.72.82:8004/rtp/226.0.2.169:9264
CCTV17,http://60.223.72.82:8004/rtp/226.0.2.170:9272
CCTV世界地理,http://60.223.72.82:8004/rtp/226.0.2.222:9688
CCTV兵器科技,http://60.223.72.82:8004/rtp/226.0.2.223:9696
CCTV央视台球,http://60.223.72.82:8004/rtp/226.0.2.216:9640
CCTV央视文化精品,http://60.223.72.82:8004/rtp/226.0.2.219:9664
CCTV怀旧剧场,http://60.223.72.82:8004/rtp/226.0.2.224:9704
CCTV电视指南,http://60.223.72.82:8004/rtp/226.0.2.218:9656
CCTV第一剧场,http://60.223.72.82:8004/rtp/226.0.2.221:9680
CCTV风云足球,http://60.223.72.82:8004/rtp/226.0.2.225:9712
CCTV风云音乐,http://60.223.72.82:8004/rtp/226.0.2.220:9672
CCTV高网,http://60.223.72.82:8004/rtp/226.0.2.217:9648
CETV1,http://60.223.72.82:8004/rtp/226.0.2.181:9360
